id,layers,params,type
74669249,12,344674,RNN
74200607,5,336077,RNN
73567385,10,28643,CNN
73308371,4,18049,Fully-connected DNN
73275569,10,82672971,CNN
72965428,7,70090,CNN
72802464,4,1689810,Fully-connected DNN
72744278,6,461981,CNN
72676542,14,1413514,CNN
71715697,19,6986057,CNN
70650848,7,77,Fully-connected DNN
70589997,10,429121,CNN
70148149,7,3041921,CNN
69901379,6,1009,Fully-connected DNN
69787272,3,1026,Fully-connected DNN
68938619,2,26321,RNN
68751439,4,17601,Fully-connected DNN
68458462,3,30,Fully-connected DNN
68321264,7,54081,CNN
68101077,3,101770,Fully-connected DNN
67529687,22,36561346,CNN
66840108,3,25933,Fully-connected DNN
66602662,6,865,Fully-connected DNN
66407123,3,1281,Fully-connected DNN
66235657,7,1006977,CNN
66087653,7,62561,Fully-connected DNN
65777704,7,36994,Fully-connected DNN
65669308,4,3025,Fully-connected DNN
64413907,3,18,RNN
64395424,3,519,Fully-connected DNN
64387251,2,10218001,Fully-connected DNN
64237179,30,8332037,CNN
63212385,16,969505,CNN
62957334,8,260597,CNN
62440336,6,6130201,RNN
62313327,2,33,Fully-connected DNN
62068109,10,222081,CNN
62055783,11,447879,CNN
61997645,5,3325,RNN
61886777,7,1386723,CNN
61763616,9,14642,CNN
61498304,14,70906,CNN
61274792,7,2320193,RNN
61234347,8,672596,Fully-connected DNN
60874661,15,45153,CNN
60831731,2,12,Fully-connected DNN
60801900,6,21667,Fully-connected DNN
60766775,7,1327,Fully-connected DNN
60574843,4,1794305,RNN
60508218,8,99142978,CNN
60355380,14,516193,CNN
59758722,3,1111,Fully-connected DNN
59278771,2,35,Fully-connected DNN
59078187,3,1674,Fully-connected DNN
58844149,10,52840217,CNN
58609115,3,12670036,Fully-connected DNN
58572274,3,15,Fully-connected DNN
58392266,22,21012289,CNN
58333926,7,475354,CNN
58064701,3,211,Fully-connected DNN
58055105,3,1153,Fully-connected DNN
58051767,3,173,Fully-connected DNN
58043002,6,12018,RNN
57943425,23,493994,CNN
57516678,3,1083905,RNN
57407973,10,202513,Fully-connected DNN
57397440,5,3211,Fully-connected DNN
57326611,2,402,Fully-connected DNN
56774954,4,9423,Fully-connected DNN
56452176,3,30,Fully-connected DNN
56218256,4,19967177,Fully-connected DNN
55198221,9,266245,CNN
54811239,3,1201,RNN
54738769,7,11827,Fully-connected DNN
54282951,5,108339457,CNN
54064299,7,352996,CNN
53749895,3,5752963,Fully-connected DNN
53700537,7,8520,CNN
52983831,3,1061,RNN
52566823,3,59,Fully-connected DNN
51930566,2,35,Fully-connected DNN
51901386,16,115982793,CNN
51749207,6,300201,CNN
51581521,22,16812353,CNN
51185079,6,226777,Fully-connected DNN
50914860,7,9447843,CNN
50555434,4,1033,Fully-connected DNN
50338865,3,1382,RNN
50079585,10,1212513,CNN
49583466,4,901,Fully-connected DNN
48976413,3,185,Fully-connected DNN
48486598,3,18,Fully-connected DNN
48385830,2,23860,Fully-connected DNN
48251943,2,17,Fully-connected DNN
48221692,2,16,Fully-connected DNN
47735201,16,109674,CNN
47704695,23,2359425,CNN
47352366,10,4522634,CNN
47241622,2,66689,RNN
46995209,12,2811,Fully-connected DNN
46869312,3,6273,Fully-connected DNN
46642627,3,2701,Fully-connected DNN
46247619,8,5696681,CNN
45378493,13,6393,CNN
45337371,3,3461,Fully-connected DNN
44758894,5,145,Fully-connected DNN
44755431,15,75552,CNN
44066044,3,313,Fully-connected DNN
43055289,7,33586,CNN
42800203,3,2051,RNN
42514960,6,84,Fully-connected DNN
42472447,5,9775,Fully-connected DNN
41999686,11,154954,Fully-connected DNN
41823068,4,4101,Fully-connected DNN
41600519,7,299201,Fully-connected DNN
41596619,2,16,Fully-connected DNN
34673164,5,5250,Fully-connected DNN
34311586,3,19,Fully-connected DNN
33969059,5,23,Fully-connected DNN
31880720,8,23013,Fully-connected DNN
31627380,3,121,Fully-connected DNN
